"date","Country","cases_total","cases_recovered","cases_fatal","cases_active","day","N","GDP_per_Capita","health_exp_percgdp","Hosp_beds","PP","susceptible","infected","removed"
2020-04-14,"US",627205,47763,32120,547322,39,331000000,65297.5,16.89,2.9,1653.54078549849,330372795,547322,79883
2020-04-15,"US",652611,52096,34732,565783,40,331000000,65297.5,16.89,2.9,1709.31419939577,330347389,565783,86828
2020-04-16,"US",682626,54703,36875,591048,41,331000000,65297.5,16.89,2.9,1785.64350453172,330317374,591048,91578
2020-04-17,"US",715656,58545,38985,618126,42,331000000,65297.5,16.89,2.9,1867.4501510574,330284344,618126,97530
2020-04-18,"US",743588,64840,40958,637790,43,331000000,65297.5,16.89,2.9,1926.8580060423,330256412,637790,105798
2020-04-19,"US",769684,70337,42929,656418,44,331000000,65297.5,16.89,2.9,1983.13595166163,330230316,656418,113266
2020-04-20,"US",799512,72329,45158,682025,45,331000000,65297.5,16.89,2.9,2060.49848942598,330200488,682025,117487
2020-04-21,"US",825429,75204,47672,702553,46,331000000,65297.5,16.89,2.9,2122.5166163142,330174571,702553,122876
2020-04-22,"US",854288,77366,50132,726790,47,331000000,65297.5,16.89,2.9,2195.74018126888,330145712,726790,127498
2020-04-23,"US",887858,80203,52588,755067,48,331000000,65297.5,16.89,2.9,2281.16918429003,330112142,755067,132791
2020-04-24,"US",920185,99079,54776,766330,49,331000000,65297.5,16.89,2.9,2315.19637462236,330079815,766330,153855
2020-04-25,"US",950581,100372,56487,793722,50,331000000,65297.5,16.89,2.9,2397.95166163142,330049419,793722,156859
2020-04-26,"US",977082,106988,57886,812208,51,331000000,65297.5,16.89,2.9,2453.80060422961,330022918,812208,164874
2020-04-27,"US",1000785,111424,59394,829967,52,331000000,65297.5,16.89,2.9,2507.45317220544,329999215,829967,170818
2020-04-28,"US",1025362,115936,61618,847808,53,331000000,65297.5,16.89,2.9,2561.35347432024,329974638,847808,177554
2020-04-29,"US",1051800,120720,64036,867044,54,331000000,65297.5,16.89,2.9,2619.46827794562,329948200,867044,184756
2020-04-30,"US",1081020,153947,66231,860842,55,331000000,65297.5,16.89,2.9,2600.73111782477,329918980,860842,220178
2020-05-01,"US",1115946,164015,68140,883791,56,331000000,65297.5,16.89,2.9,2670.06344410876,329884054,883791,232155
2020-05-02,"US",1143296,175382,69871,898043,57,331000000,65297.5,16.89,2.9,2713.12084592145,329856704,898043,245253
2020-05-03,"US",1167593,180152,71061,916380,58,331000000,65297.5,16.89,2.9,2768.51963746224,329832407,916380,251213
2020-05-04,"US",1191678,187180,72440,932058,59,331000000,65297.5,16.89,2.9,2815.88519637462,329808322,932058,259620
2020-05-05,"US",1216209,189791,74682,951736,60,331000000,65297.5,16.89,2.9,2875.33534743202,329783791,951736,264473
2020-05-06,"US",1240769,189910,76996,973863,61,331000000,65297.5,16.89,2.9,2942.18429003021,329759231,973863,266906
2020-05-07,"US",1268180,195036,78925,994219,62,331000000,65297.5,16.89,2.9,3003.68277945619,329731820,994219,273961
2020-05-08,"US",1295019,198993,80688,1015338,63,331000000,65297.5,16.89,2.9,3067.48640483384,329704981,1015338,279681
2020-05-09,"US",1320155,212534,82156,1025465,64,331000000,65297.5,16.89,2.9,3098.08157099698,329679845,1025465,294690
2020-05-10,"US",1339022,216169,83134,1039719,65,331000000,65297.5,16.89,2.9,3141.14501510574,329660978,1039719,299303
2020-05-11,"US",1358293,232733,84176,1041384,66,331000000,65297.5,16.89,2.9,3146.1752265861,329641707,1041384,316909
2020-05-12,"US",1381241,230287,85774,1065180,67,331000000,65297.5,16.89,2.9,3218.0664652568,329618759,1065180,316061
2020-05-13,"US",1401649,243430,87501,1070718,68,331000000,65297.5,16.89,2.9,3234.79758308157,329598351,1070718,330931
2020-05-14,"US",1428467,246414,89297,1092756,69,331000000,65297.5,16.89,2.9,3301.37764350453,329571533,1092756,335711
2020-05-15,"US",1453214,250747,90965,1111502,70,331000000,65297.5,16.89,2.9,3358.01208459215,329546786,1111502,341712
2020-05-16,"US",1477373,268376,92163,1116834,71,331000000,65297.5,16.89,2.9,3374.12084592145,329522627,1116834,360539
2020-05-17,"US",1495736,272265,92984,1130487,72,331000000,65297.5,16.89,2.9,3415.36858006042,329504264,1130487,365249
2020-05-18,"US",1518126,283178,94211,1140737,73,331000000,65297.5,16.89,2.9,3446.33534743202,329481874,1140737,377389
2020-05-19,"US",1539133,289392,95667,1154074,74,331000000,65297.5,16.89,2.9,3486.62839879154,329460867,1154074,385059
2020-05-20,"US",1561830,294312,97168,1170350,75,331000000,65297.5,16.89,2.9,3535.80060422961,329438170,1170350,391480
2020-05-21,"US",1587596,298418,98353,1190825,76,331000000,65297.5,16.89,2.9,3597.6586102719,329412404,1190825,396771
2020-05-22,"US",1611253,350135,99570,1161548,77,331000000,65297.5,16.89,2.9,3509.2084592145,329388747,1161548,449705
2020-05-23,"US",1632364,361239,100659,1170466,78,331000000,65297.5,16.89,2.9,3536.15105740181,329367636,1170466,461898
2020-05-24,"US",1652431,366736,101298,1184397,79,331000000,65297.5,16.89,2.9,3578.23867069486,329347569,1184397,468034
2020-05-25,"US",1671104,379157,101890,1190057,80,331000000,65297.5,16.89,2.9,3595.33836858006,329328896,1190057,481047
2020-05-26,"US",1690754,384902,102567,1203285,81,331000000,65297.5,16.89,2.9,3635.30211480363,329309246,1203285,487469
2020-05-27,"US",1709303,391508,104029,1213766,82,331000000,65297.5,16.89,2.9,3666.9667673716,329290697,1213766,495537
2020-05-28,"US",1731625,399991,105130,1226504,83,331000000,65297.5,16.89,2.9,3705.4501510574,329268375,1226504,505121
2020-05-29,"US",1756098,406446,106263,1243389,84,331000000,65297.5,16.89,2.9,3756.46223564955,329243902,1243389,512709
2020-05-30,"US",1779731,416461,107217,1256053,85,331000000,65297.5,16.89,2.9,3794.72205438066,329220269,1256053,523678
2020-05-31,"US",1798718,444758,107832,1246128,86,331000000,65297.5,16.89,2.9,3764.73716012085,329201282,1246128,552590
2020-06-01,"US",1816154,458231,108608,1249315,87,331000000,65297.5,16.89,2.9,3774.36555891239,329183846,1249315,566839
2020-06-02,"US",1837656,463868,109589,1264199,88,331000000,65297.5,16.89,2.9,3819.33232628399,329162344,1264199,573457
2020-06-03,"US",1857511,479258,110599,1267654,89,331000000,65297.5,16.89,2.9,3829.77039274924,329142489,1267654,589857
2020-06-04,"US",1879150,485002,111612,1282536,90,331000000,65297.5,16.89,2.9,3874.73111782477,329120850,1282536,596614
2020-06-05,"US",1904550,491706,112503,1300341,91,331000000,65297.5,16.89,2.9,3928.52265861027,329095450,1300341,604209
2020-06-06,"US",1925710,500849,113145,1311716,92,331000000,65297.5,16.89,2.9,3962.88821752266,329074290,1311716,613994
2020-06-07,"US",1943626,506367,113604,1323655,93,331000000,65297.5,16.89,2.9,3998.95770392749,329056374,1323655,619971
2020-06-08,"US",1961263,518522,114111,1328630,94,331000000,65297.5,16.89,2.9,4013.98791540785,329038737,1328630,632633
2020-06-09,"US",1979647,524855,115024,1339768,95,331000000,65297.5,16.89,2.9,4047.63746223565,329020353,1339768,639879
2020-06-10,"US",2000757,533504,115900,1351353,96,331000000,65297.5,16.89,2.9,4082.63746223565,328999243,1351353,649404
2020-06-11,"US",2023890,540292,116730,1366868,97,331000000,65297.5,16.89,2.9,4129.51057401813,328976110,1366868,657022
2020-06-12,"US",2048756,547386,117559,1383811,98,331000000,65297.5,16.89,2.9,4180.69788519637,328951244,1383811,664945
2020-06-13,"US",2073964,556606,118294,1399064,99,331000000,65297.5,16.89,2.9,4226.77945619335,328926036,1399064,674900
2020-06-14,"US",2092912,561816,118639,1412457,100,331000000,65297.5,16.89,2.9,4267.2416918429,328907088,1412457,680455
2020-03-16,"Russia",90,8,0,82,1,145934000,11585,5.32,7.1,0.561897844230954,145933910,82,8
2020-03-17,"Russia",114,8,0,106,2,145934000,11585,5.32,7.1,0.726355749859526,145933886,106,8
2020-03-18,"Russia",147,8,0,139,3,145934000,11585,5.32,7.1,0.952485370098812,145933853,139,8
2020-03-19,"Russia",199,9,1,189,4,145934000,11585,5.32,7.1,1.295106006825,145933801,189,10
2020-03-20,"Russia",253,9,1,243,5,145934000,11585,5.32,7.1,1.66513629448929,145933747,243,10
2020-03-21,"Russia",306,12,1,293,6,145934000,11585,5.32,7.1,2.00775693121548,145933694,293,13
2020-03-22,"Russia",367,16,1,350,7,145934000,11585,5.32,7.1,2.39834445708334,145933633,350,17
2020-03-23,"Russia",438,16,1,421,8,145934000,11585,5.32,7.1,2.88486576123453,145933562,421,17
2020-03-24,"Russia",495,22,1,472,9,145934000,11585,5.32,7.1,3.23433881069525,145933505,472,23
2020-03-25,"Russia",658,29,3,626,10,145934000,11585,5.32,7.1,4.28961037181192,145933342,626,32
2020-03-26,"Russia",840,38,3,799,11,145934000,11585,5.32,7.1,5.47507777488454,145933160,799,41
2020-03-27,"Russia",1036,45,4,987,12,145934000,11585,5.32,7.1,6.76333136897502,145932964,987,49
2020-03-28,"Russia",1264,49,4,1211,13,145934000,11585,5.32,7.1,8.29827182150835,145932736,1211,53
2020-03-29,"Russia",1534,64,8,1462,14,145934000,11585,5.32,7.1,10.0182274178738,145932466,1462,72
2020-03-30,"Russia",1836,66,9,1761,15,145934000,11585,5.32,7.1,12.0670988254965,145932164,1761,75
2020-03-31,"Russia",2337,121,17,2199,16,145934000,11585,5.32,7.1,15.0684556032179,145931663,2199,138
2020-04-01,"Russia",2777,190,24,2563,17,145934000,11585,5.32,7.1,17.5627338385846,145931223,2563,214
2020-04-02,"Russia",3548,235,30,3283,18,145934000,11585,5.32,7.1,22.4964710074417,145930452,3283,265
2020-04-03,"Russia",4149,281,34,3834,19,145934000,11585,5.32,7.1,26.2721504241643,145929851,3834,315
2020-04-04,"Russia",4731,333,43,4355,20,145934000,11585,5.32,7.1,29.8422574588513,145929269,4355,376
2020-04-05,"Russia",5389,355,45,4989,21,145934000,11585,5.32,7.1,34.1866871325394,145928611,4989,400
2020-04-06,"Russia",6343,406,47,5890,22,145934000,11585,5.32,7.1,40.3607110063453,145927657,5890,453
2020-04-07,"Russia",7497,494,58,6945,23,145934000,11585,5.32,7.1,47.590006441268,145926503,6945,552
2020-04-08,"Russia",8672,580,63,8029,24,145934000,11585,5.32,7.1,55.0180218454918,145925328,8029,643
2020-04-09,"Russia",10131,698,76,9357,25,145934000,11585,5.32,7.1,64.1180259569394,145923869,9357,774
2020-04-10,"Russia",11917,795,94,11028,26,145934000,11585,5.32,7.1,75.5684076363288,145922083,11028,889
2020-04-11,"Russia",13584,1045,106,12433,27,145934000,11585,5.32,7.1,85.1960475283347,145920416,12433,1151
2020-04-12,"Russia",15770,1291,130,14349,28,145934000,11585,5.32,7.1,98.3252703276824,145918230,14349,1421
2020-04-13,"Russia",18328,1470,148,16710,29,145934000,11585,5.32,7.1,114.503816793893,145915672,16710,1618
2020-04-14,"Russia",21102,1694,170,19238,30,145934000,11585,5.32,7.1,131.826716186769,145912898,19238,1864
2020-04-15,"Russia",24490,1986,198,22306,31,145934000,11585,5.32,7.1,152.849918456288,145909510,22306,2184
2020-04-16,"Russia",27938,2304,232,25402,32,145934000,11585,5.32,7.1,174.064988282374,145906062,25402,2536
2020-04-17,"Russia",32008,2590,273,29145,33,145934000,11585,5.32,7.1,199.713569147697,145901992,29145,2863
2020-04-18,"Russia",36793,3057,313,33423,34,145934000,11585,5.32,7.1,229.02819082599,145897207,33423,3370
2020-04-19,"Russia",42853,3291,361,39201,35,145934000,11585,5.32,7.1,268.621431606068,145891147,39201,3652
2020-04-20,"Russia",47121,3446,405,43270,36,145934000,11585,5.32,7.1,296.503899022846,145886879,43270,3851
2020-04-21,"Russia",52763,3873,456,48434,37,145934000,11585,5.32,7.1,331.889758383927,145881237,48434,4329
2020-04-22,"Russia",57999,4420,513,53066,38,145934000,11585,5.32,7.1,363.630134170241,145876001,53066,4933
2020-04-23,"Russia",62773,4891,555,57327,39,145934000,11585,5.32,7.1,392.828264832047,145871227,57327,5446
2020-04-24,"Russia",68622,5568,615,62439,40,145934000,11585,5.32,7.1,427.857798730933,145865378,62439,6183
2020-04-25,"Russia",74588,6250,681,67657,41,145934000,11585,5.32,7.1,463.613688379678,145859412,67657,6931
2020-04-26,"Russia",80949,6767,747,73435,42,145934000,11585,5.32,7.1,503.206929159757,145853051,73435,7514
2020-04-27,"Russia",87147,7346,794,79007,43,145934000,11585,5.32,7.1,541.388572916524,145846853,79007,8140
2020-04-28,"Russia",93558,8456,867,84235,44,145934000,11585,5.32,7.1,577.212986692614,145840442,84235,9323
2020-04-29,"Russia",99399,10286,972,88141,45,145934000,11585,5.32,7.1,603.978510833665,145834601,88141,11258
2020-04-30,"Russia",106498,11619,1073,93806,46,145934000,11585,5.32,7.1,642.797428974742,145827502,93806,12692
2020-05-01,"Russia",114431,13220,1169,100042,47,145934000,11585,5.32,7.1,685.529074787233,145819569,100042,14389
2020-05-02,"Russia",124054,15013,1222,107819,48,145934000,11585,5.32,7.1,738.820288623624,145809946,107819,16235
2020-05-03,"Russia",134687,16639,1280,116768,49,145934000,11585,5.32,7.1,800.142530184878,145799313,116768,17919
2020-05-04,"Russia",145268,18095,1356,125817,50,145934000,11585,5.32,7.1,862.150013019584,145788732,125817,19451
2020-05-05,"Russia",155370,19865,1451,134054,51,145934000,11585,5.32,7.1,918.593336713857,145778630,134054,21316
2020-05-06,"Russia",165929,21327,1537,143065,52,145934000,11585,5.32,7.1,980.340427864651,145768071,143065,22864
2020-05-07,"Russia",177160,23803,1625,151732,53,145934000,11585,5.32,7.1,1039.73028903477,145756840,151732,25428
2020-05-08,"Russia",187859,26608,1723,159528,54,145934000,11585,5.32,7.1,1093.15169871312,145746141,159528,28331
2020-05-09,"Russia",198676,31916,1827,164933,55,145934000,11585,5.32,7.1,1130.18898954322,145735324,164933,33743
2020-05-10,"Russia",209688,34306,1915,173467,56,145934000,11585,5.32,7.1,1188.66747981964,145724312,173467,36221
2020-05-11,"Russia",221344,39801,2009,179534,57,145934000,11585,5.32,7.1,1230.24106788,145712656,179534,41810
2020-05-12,"Russia",232243,43512,2116,186615,58,145934000,11585,5.32,7.1,1278.76300245316,145701757,186615,45628
2020-05-13,"Russia",242271,48003,2212,192056,59,145934000,11585,5.32,7.1,1316.04698014171,145691729,192056,50215
2020-05-14,"Russia",252245,53530,2305,196410,60,145934000,11585,5.32,7.1,1345.88238518782,145681755,196410,55835
2020-05-15,"Russia",262843,58226,2418,202199,61,145934000,11585,5.32,7.1,1385.55100250798,145671157,202199,60644
2020-05-16,"Russia",272043,63166,2537,206340,62,145934000,11585,5.32,7.1,1413.92684364165,145661957,206340,65703
2020-05-17,"Russia",281752,67373,2631,211748,63,145934000,11585,5.32,7.1,1450.98469170995,145652248,211748,70004
2020-05-18,"Russia",290678,70209,2722,217747,64,145934000,11585,5.32,7.1,1492.09231570436,145643322,217747,72931
2020-05-19,"Russia",299941,76130,2837,220974,65,145934000,11585,5.32,7.1,1514.20505159867,145634059,220974,78967
2020-05-20,"Russia",308705,85392,2972,220341,66,145934000,11585,5.32,7.1,1509.86747433771,145625295,220341,88364
2020-05-21,"Russia",317554,92681,3099,221774,67,145934000,11585,5.32,7.1,1519.68698178629,145616446,221774,95780
2020-05-22,"Russia",326448,99825,3249,223374,68,145934000,11585,5.32,7.1,1530.65084216153,145607552,223374,103074
2020-05-23,"Russia",335882,107936,3388,224558,69,145934000,11585,5.32,7.1,1538.7640988392,145598118,224558,111324
2020-05-24,"Russia",344481,113299,3541,227641,70,145934000,11585,5.32,7.1,1559.89008729974,145589519,227641,116840
2020-05-25,"Russia",353427,118798,3633,230996,71,145934000,11585,5.32,7.1,1582.87993202407,145580573,230996,122431
2020-05-26,"Russia",362342,131129,3807,227406,72,145934000,11585,5.32,7.1,1558.27977030713,145571658,227406,134936
2020-05-27,"Russia",370680,142208,3968,224504,73,145934000,11585,5.32,7.1,1538.39406855154,145563320,224504,146176
2020-05-28,"Russia",379051,150993,4142,223916,74,145934000,11585,5.32,7.1,1534.36484986364,145554949,223916,155135
2020-05-29,"Russia",387623,159257,4374,223992,75,145934000,11585,5.32,7.1,1534.88563323146,145546377,223992,163631
2020-05-30,"Russia",396575,167469,4555,224551,76,145934000,11585,5.32,7.1,1538.71613195006,145537425,224551,172024
2020-05-31,"Russia",405843,171883,4693,229267,77,145934000,11585,5.32,7.1,1571.03211040607,145528157,229267,176576
2020-06-01,"Russia",414328,175514,4849,233965,78,145934000,11585,5.32,7.1,1603.22474543287,145519672,233965,180363
2020-06-02,"Russia",423186,186602,5031,231553,79,145934000,11585,5.32,7.1,1586.6967259172,145510814,231553,191633
2020-06-03,"Russia",431715,195559,5208,230948,80,145934000,11585,5.32,7.1,1582.55101621281,145502285,230948,200767
2020-06-04,"Russia",440538,204197,5376,230965,81,145934000,11585,5.32,7.1,1582.6675072293,145493462,230965,209573
2020-06-05,"Russia",449256,212237,5520,231499,82,145934000,11585,5.32,7.1,1586.32669562953,145484744,231499,217757
2020-06-06,"Russia",458102,220935,5717,231450,83,145934000,11585,5.32,7.1,1585.99092740554,145475898,231450,226652
2020-06-07,"Russia",467073,226272,5851,234950,84,145934000,11585,5.32,7.1,1609.97437197637,145466927,234950,232123
2020-06-08,"Russia",476043,230226,5963,239854,85,145934000,11585,5.32,7.1,1643.57860402648,145457957,239854,236189
2020-06-09,"Russia",484630,241917,6134,236579,86,145934000,11585,5.32,7.1,1621.13695232091,145449370,236579,248051
2020-06-10,"Russia",493023,252295,6350,234378,87,145934000,11585,5.32,7.1,1606.05479189223,145440977,234378,258645
2020-06-11,"Russia",501800,260649,6522,234629,88,145934000,11585,5.32,7.1,1607.77474748859,145432200,234629,267171
2020-06-12,"Russia",510761,268862,6705,235194,89,145934000,11585,5.32,7.1,1611.6463606836,145423239,235194,275567
2020-06-13,"Russia",519458,274128,6819,238511,90,145934000,11585,5.32,7.1,1634.37581372401,145414542,238511,280947
2020-06-14,"Russia",528267,279536,6938,241793,91,145934000,11585,5.32,7.1,1656.86543231872,145405733,241793,286474
2020-06-15,"Russia",536484,284021,7081,245382,92,145934000,11585,5.32,7.1,1681.45874162293,145397516,245382,291102
2020-06-16,"Russia",544725,293780,7274,243671,93,145934000,11585,5.32,7.1,1669.73426343416,145389275,243671,301054
2020-06-17,"Russia",552549,303800,7468,241281,94,145934000,11585,5.32,7.1,1653.35699699864,145381451,241281,311268
2020-06-18,"Russia",560321,313409,7650,239262,95,145934000,11585,5.32,7.1,1639.52197568764,145373679,239262,321059
2020-06-19,"Russia",568292,323851,7831,236610,96,145934000,11585,5.32,7.1,1621.34937711568,145365708,236610,331682
2020-06-20,"Russia",576162,334024,7992,234146,97,145934000,11585,5.32,7.1,1604.46503213782,145357838,234146,342016
2020-06-21,"Russia",583879,339142,8101,236636,98,145934000,11585,5.32,7.1,1621.52753984678,145350121,236636,347243
2020-06-22,"Russia",591465,343847,8196,239422,99,145934000,11585,5.32,7.1,1640.61836172516,145342535,239422,352043
2020-06-23,"Russia",598878,355847,8349,234682,100,145934000,11585,5.32,7.1,1608.13792536352,145335122,234682,364196
2020-06-24,"Russia",606043,368222,8503,229318,101,145934000,11585,5.32,7.1,1571.38158345553,145327957,229318,376725
2020-06-25,"Russia",613148,374557,8594,229997,102,145934000,11585,5.32,7.1,1576.03437170228,145320852,229997,383151
2020-06-26,"Russia",619936,383524,8770,227642,103,145934000,11585,5.32,7.1,1559.89693971247,145314064,227642,392294
2020-06-27,"Russia",626779,392703,8958,225118,104,145934000,11585,5.32,7.1,1542.60144997053,145307221,225118,401661
2020-06-28,"Russia",633563,398436,9060,226067,105,145934000,11585,5.32,7.1,1549.1043896556,145300437,226067,407496
2020-06-29,"Russia",640246,402778,9152,228316,106,145934000,11585,5.32,7.1,1564.51546589554,145293754,228316,411930
2020-06-30,"Russia",646929,411973,9306,225650,107,145934000,11585,5.32,7.1,1546.2469335453,145287071,225650,421279
2020-07-01,"Russia",653479,422235,9521,221723,108,145934000,11585,5.32,7.1,1519.33750873683,145280521,221723,431756
2020-07-02,"Russia",660231,428276,9668,222287,109,145934000,11585,5.32,7.1,1523.2022695191,145273769,222287,437944
2020-07-03,"Russia",666941,437155,9844,219942,110,145934000,11585,5.32,7.1,1507.13336165664,145267059,219942,446999
2020-07-04,"Russia",673564,446127,10011,217426,111,145934000,11585,5.32,7.1,1489.89269121658,145260436,217426,456138
2020-07-05,"Russia",680283,449995,10145,220143,112,145934000,11585,5.32,7.1,1508.51069661628,145253717,220143,460140
2020-07-06,"Russia",686852,453570,10280,223002,113,145934000,11585,5.32,7.1,1528.10174462428,145247148,223002,463850
2020-07-07,"Russia",693215,463103,10478,219634,114,145934000,11585,5.32,7.1,1505.02281853441,145240785,219634,473581
2020-07-08,"Russia",699749,471718,10650,217381,115,145934000,11585,5.32,7.1,1489.58433264352,145234251,217381,482368
2020-07-09,"Russia",706240,480494,10826,214920,116,145934000,11585,5.32,7.1,1472.72054490386,145227760,214920,491320
2020-07-10,"Russia",712863,488234,11000,213629,117,145934000,11585,5.32,7.1,1463.87408006359,145221137,213629,499234
2020-07-11,"Russia",719449,496594,11188,211667,118,145934000,11585,5.32,7.1,1450.42964627845,145214551,211667,507782
2020-07-12,"Russia",726036,500208,11318,214510,119,145934000,11585,5.32,7.1,1469.91105568271,145207964,214510,511526
2020-07-13,"Russia",732547,503168,11422,217957,120,145934000,11585,5.32,7.1,1493.53132237861,145201453,217957,514590
2020-07-14,"Russia",738787,511958,11597,215232,121,145934000,11585,5.32,7.1,1474.85849767703,145195213,215232,523555
2020-07-15,"Russia",745197,522375,11753,211069,122,145934000,11585,5.32,7.1,1446.33190346321,145188803,211069,534128
2020-07-16,"Russia",751612,530801,11920,208891,123,145934000,11585,5.32,7.1,1431.40734852742,145182388,208891,542721
2020-07-17,"Russia",758001,538467,12106,207428,124,145934000,11585,5.32,7.1,1421.38226869681,145175999,207428,550573
2020-07-18,"Russia",764215,545909,12228,206078,125,145934000,11585,5.32,7.1,1412.1315115052,145169785,206078,558137
2020-07-19,"Russia",770311,549387,12323,208601,126,145934000,11585,5.32,7.1,1429.4201488344,145163689,208601,561710
2020-07-20,"Russia",776212,552644,12408,211160,127,145934000,11585,5.32,7.1,1446.95547302205,145157788,211160,565052
2020-07-21,"Russia",782040,561397,12561,208082,128,145934000,11585,5.32,7.1,1425.86374662519,145151960,208082,573958
2020-07-22,"Russia",787890,571049,12726,204115,129,145934000,11585,5.32,7.1,1398.68022530733,145146110,204115,583775
2020-07-23,"Russia",793720,579295,12873,201552,130,145934000,11585,5.32,7.1,1381.11749146875,145140280,201552,592168
2020-07-24,"Russia",799499,587728,13026,198745,131,145934000,11585,5.32,7.1,1361.88276892294,145134501,198745,600754
2020-07-25,"Russia",805332,596064,13172,196096,132,145934000,11585,5.32,7.1,1343.73072758918,145128668,196096,609236
2020-07-26,"Russia",811073,599172,13249,198652,133,145934000,11585,5.32,7.1,1361.24549453863,145122927,198652,612421
2020-07-27,"Russia",816680,602249,13334,201097,134,145934000,11585,5.32,7.1,1377.99964367454,145117320,201097,615583
2020-07-28,"Russia",822060,611109,13483,197468,135,145934000,11585,5.32,7.1,1353.13223786095,145111940,197468,624592
2020-07-29,"Russia",827509,619204,13650,194655,136,145934000,11585,5.32,7.1,1333.85640083874,145106491,194655,632854
